iShares Core S&P 500 ETF
Fund Holdings as of,"May 07, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,108,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NEE","NEXTERA ENERGY INC","Utilities","Equity","2,516,096,919.56","0.31","2,516,096,919.56","26,962,033.00","93.32","United States","NYSE","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","2,492,068,203.00","0.31","2,492,068,203.00","22,934,550.00","108.66","United States","NYSE","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","2,348,944,388.10","0.29","2,348,944,388.10","10,167,270.00","231.03","United States","NYSE","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","2,307,766,797.56","0.28","2,307,766,797.56","4,863,986.00","474.46","United States","NYSE","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","2,294,180,838.83","0.28","2,294,180,838.83","6,971,287.00","329.09","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","2,289,345,324.48","0.28","2,289,345,324.48","90,631,248.00","25.26","United States","NYSE","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","2,260,424,575.64","0.28","2,260,424,575.64","12,130,646.00","186.34","United States","NYSE","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","2,220,863,182.40","0.27","2,220,863,182.40","14,376,380.00","154.48","United States","NYSE","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","2,209,641,576.66","0.27","2,209,641,576.66","6,933,514.00","318.69","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","2,174,140,350.36","0.27","2,174,140,350.36","15,913,778.00","136.62","United States","NYSE","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","2,163,815,707.32","0.27","2,163,815,707.32","2,823,203.00","766.44","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","2,153,290,756.52","0.26","2,153,290,756.52","16,062,142.00","134.06","United States","NASDAQ","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","2,084,956,100.71","0.26","2,084,956,100.71","4,597,579.00","453.49","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","2,056,012,941.69","0.25","2,056,012,941.69","10,461,573.00","196.53","United States","NASDAQ","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","2,044,460,875.10","0.25","2,044,460,875.10","26,644,870.00","76.73","United States","NYSE","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","2,036,233,204.35","0.25","2,036,233,204.35","4,389,285.00","463.91","United States","NASDAQ","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","2,034,927,627.29","0.25","2,034,927,627.29","7,682,161.00","264.89","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","2,007,064,705.05","0.25","2,007,064,705.05","5,028,347.00","399.15","United States","NYSE","USD","1.00","USD","-"
