iShares Russell 2000 ETF
Fund Holdings as of,"May 07, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"278,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ZWS","ZURN ELKAY WATER SOLUTIONS CORP","Industrials","Equity","180,796,638.00","0.23","180,796,638.00","3,541,560.00","51.05","United States","NYSE","USD","1.00","USD","-"
"GKOS","GLAUKOS CORP","Health Care","Equity","176,698,221.35","0.22","176,698,221.35","1,317,169.00","134.15","United States","NYSE","USD","1.00","USD","-"
"ORA","ORMAT TECH INC","Utilities","Equity","176,325,270.60","0.22","176,325,270.60","1,439,155.00","122.52","United States","NYSE","USD","1.00","USD","-"
"UEC","URANIUM ENERGY CORP","Energy","Equity","175,437,933.65","0.22","175,437,933.65","11,253,235.00","15.59","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"JXN","JACKSON FINANCIAL INC CLASS A","Financials","Equity","174,398,302.87","0.22","174,398,302.87","1,584,143.00","110.09","United States","NYSE","USD","1.00","USD","-"
"KRYS","KRYSTAL BIOTECH INC","Health Care","Equity","173,298,909.60","0.22","173,298,909.60","584,088.00","296.70","United States","NASDAQ","USD","1.00","USD","-"
"SM","SM ENERGY","Energy","Equity","171,279,981.00","0.22","171,279,981.00","5,885,910.00","29.10","United States","NYSE","USD","1.00","USD","-"
"IDCC","INTERDIGITAL INC","Information Technology","Equity","170,543,122.90","0.22","170,543,122.90","611,770.00","278.77","United States","NASDAQ","USD","1.00","USD","-"
"FSS","FEDERAL SIGNAL CORP","Industrials","Equity","170,452,706.90","0.22","170,452,706.90","1,415,015.00","120.46","United States","NYSE","USD","1.00","USD","-"
"JBTM","JBT MAREL CORP","Industrials","Equity","169,508,020.82","0.22","169,508,020.82","1,228,141.00","138.02","United States","NYSE","USD","1.00","USD","-"
"SLAB","SILICON LABORATORIES INC","Information Technology","Equity","167,260,475.16","0.21","167,260,475.16","768,519.00","217.64","United States","NASDAQ","USD","1.00","USD","-"
"HQY","HEALTHEQUITY INC","Health Care","Equity","166,845,295.10","0.21","166,845,295.10","1,986,490.00","83.99","United States","NASDAQ","USD","1.00","USD","-"
"TEX","TEREX CORP","Industrials","Equity","166,183,211.34","0.21","166,183,211.34","2,645,387.00","62.82","United States","NYSE","USD","1.00","USD","-"
"PLXS","PLEXUS CORP","Information Technology","Equity","163,680,255.75","0.21","163,680,255.75","627,825.00","260.71","United States","NASDAQ","USD","1.00","USD","-"
"RHP","RYMAN HOSPITALITY PROPERTIES REIT","Real Estate","Equity","161,557,489.56","0.21","161,557,489.56","1,463,118.00","110.42","United States","NYSE","USD","1.00","USD","-"
"BTSG","BRIGHTSPRING HEALTH SERVICES INC","Health Care","Equity","161,312,574.02","0.21","161,312,574.02","3,047,083.00","52.94","United States","NASDAQ","USD","1.00","USD","-"
"TRNO","TERRENO REALTY REIT CORP","Real Estate","Equity","161,126,676.54","0.20","161,126,676.54","2,421,501.00","66.54","United States","NYSE","USD","1.00","USD","-"
"CWAN","CLEARWATER ANALYTICS HOLDINGS INC","Information Technology","Equity","159,710,802.30","0.20","159,710,802.30","6,572,461.00","24.30","United States","NYSE","USD","1.00","USD","-"
"MXL","MAXLINEAR INC","Information Technology","Equity","158,648,409.02","0.20","158,648,409.02","1,926,046.00","82.37","United States","NASDAQ","USD","1.00","USD","-"
"CIFR","CIPHER DIGITAL INC","Information Technology","Equity","158,518,421.88","0.20","158,518,421.88","7,663,448.00","20.68","United States","NASDAQ","USD","1.00","USD","-"
"SSRM","SSR MINING INC","Materials","Equity","157,073,321.87","0.20","157,073,321.87","4,801,997.00","32.71","Canada","NASDAQ","USD","1.00","USD","-"
"MYRG","MYR GROUP INC","Industrials","Equity","155,732,570.82","0.20","155,732,570.82","364,389.00","427.38","United States","NASDAQ","USD","1.00","USD","-"
"AROC","ARCHROCK INC","Energy","Equity","154,952,928.60","0.20","154,952,928.60","4,067,006.00","38.10","United States","NYSE","USD","1.00","USD","-"
"GATX","GATX CORP","Industrials","Equity","154,897,146.80","0.20","154,897,146.80","846,340.00","183.02","United States","NYSE","USD","1.00","USD","-"
"VLY","VALLEY NATIONAL","Financials","Equity","154,084,174.60","0.20","154,084,174.60","11,498,819.00","13.40","United States","NASDAQ","USD","1.00","USD","-"
"CORZ","CORE SCIENTIFIC INC","Information Technology","Equity","153,447,534.76","0.20","153,447,534.76","6,862,591.00","22.36","United States","NASDAQ","USD","1.00","USD","-"
"PCVX","VAXCYTE INC","Health Care","Equity","150,632,899.56","0.19","150,632,899.56","2,926,047.00","51.48","United States","NASDAQ","USD","1.00","USD","-"
"AVAV","AEROVIRONMENT INC","Industrials","Equity","149,898,161.28","0.19","149,898,161.28","891,296.00","168.18","United States","NASDAQ","USD","1.00","USD","-"
"NPO","ENPRO INC","Industrials","Equity","149,833,218.32","0.19","149,833,218.32","498,182.00","300.76","United States","NYSE","USD","1.00","USD","-"
"EAT","BRINKER INTERNATIONAL INC","Consumer Discretionary","Equity","149,676,750.30","0.19","149,676,750.30","1,023,081.00","146.30","United States","NYSE","USD","1.00","USD","-"
"SWX","SOUTHWEST GAS HOLDINGS INC","Utilities","Equity","148,019,848.68","0.19","148,019,848.68","1,630,893.00","90.76","United States","NYSE","USD","1.00","USD","-"
"EPRT","ESSENTIAL PROPERTIES REALTY TRUST","Real Estate","Equity","147,600,531.06","0.19","147,600,531.06","4,690,198.00","31.47","United States","NYSE","USD","1.00","USD","-"
"ROAD","CONSTRUCTION PARTNERS INC CLASS A","Industrials","Equity","147,466,706.40","0.19","147,466,706.40","1,122,615.00","131.36","United States","NASDAQ","USD","1.00","USD","-"
"GBCI","GLACIER BANCORP INC","Financials","Equity","147,220,409.70","0.19","147,220,409.70","3,017,430.00","48.79","United States","NYSE","USD","1.00","USD","-"
"TGTX","TG THERAPEUTICS INC","Health Care","Equity","147,094,730.50","0.19","147,094,730.50","3,418,820.00","43.02","United States","NASDAQ","USD","1.00","USD","-"
"ACA","ARCOSA INC","Industrials","Equity","146,746,644.00","0.19","146,746,644.00","1,146,100.00","128.04","United States","NYSE","USD","1.00","USD","-"
"GVA","GRANITE CONSTRUCTION INC","Industrials","Equity","145,704,731.32","0.19","145,704,731.32","1,031,684.00","141.23","United States","NYSE","USD","1.00","USD","-"
"NE","NOBLE CORPORATION PLC","Energy","Equity","144,181,071.36","0.18","144,181,071.36","2,974,032.00","48.48","United States","NYSE","USD","1.00","USD","-"
"UBSI","UNITED BANKSHARES INC","Financials","Equity","142,691,144.37","0.18","142,691,144.37","3,287,057.00","43.41","United States","NASDAQ","USD","1.00","USD","-"
"IESC","IES INC","Industrials","Equity","141,906,325.33","0.18","141,906,325.33","213,191.00","665.63","United States","NASDAQ","USD","1.00","USD","-"
"VICR","VICOR CORP","Industrials","Equity","141,858,226.74","0.18","141,858,226.74","542,811.00","261.34","United States","NASDAQ","USD","1.00","USD","-"
"RGTI","RIGETTI COMPUTING INC","Information Technology","Equity","141,251,598.88","0.18","141,251,598.88","7,701,832.00","18.34","United States","NASDAQ","USD","1.00","USD","-"
"TXNM","TXNM ENERGY INC","Utilities","Equity","140,385,174.80","0.18","140,385,174.80","2,369,770.00","59.24","United States","NYSE","USD","1.00","USD","-"
"LNTH","LANTHEUS HOLDINGS INC","Health Care","Equity","140,298,886.00","0.18","140,298,886.00","1,541,746.00","91.00","United States","NASDAQ","USD","1.00","USD","-"
"KRG","KITE REALTY GROUP TRUST REIT","Real Estate","Equity","138,370,428.48","0.18","138,370,428.48","5,178,534.00","26.72","United States","NYSE","USD","1.00","USD","-"
"JOBY","JOBY AVIATION INC CLASS A","Industrials","Equity","138,184,436.39","0.18","138,184,436.39","13,804,639.00","10.01","United States","NYSE","USD","1.00","USD","-"
"KGS","KODIAK GAS SERVICES INC","Energy","Equity","138,087,928.35","0.18","138,087,928.35","1,965,105.00","70.27","United States","NYSE","USD","1.00","USD","-"
"PRIM","PRIMORIS SERVICES CORP","Industrials","Equity","137,982,027.04","0.18","137,982,027.04","1,277,848.00","107.98","United States","NYSE","USD","1.00","USD","-"
"HWC","HANCOCK WHITNEY CORP","Financials","Equity","135,665,244.05","0.17","135,665,244.05","1,991,855.00","68.11","United States","NASDAQ","USD","1.00","USD","-"
"PTGX","PROTAGONIST THERAPEUTICS INC","Health Care","Equity","135,621,112.65","0.17","135,621,112.65","1,371,989.00","98.85","United States","NASDAQ","USD","1.00","USD","-"
"ALKS","ALKERMES","Health Care","Equity","135,552,264.00","0.17","135,552,264.00","3,829,160.00","35.40","United States","NASDAQ","USD","1.00","USD","-"
"BKH","BLACK HILLS CORP","Utilities","Equity","135,434,738.30","0.17","135,434,738.30","1,800,515.00","75.22","United States","NYSE","USD","1.00","USD","-"
"ESNT","ESSENT GROUP LTD","Financials","Equity","135,149,010.20","0.17","135,149,010.20","2,194,690.00","61.58","United States","NYSE","USD","1.00","USD","-"
"TMHC","TAYLOR MORRISON HOME CORP","Consumer Discretionary","Equity","135,129,339.69","0.17","135,129,339.69","2,272,227.00","59.47","United States","NYSE","USD","1.00","USD","-"
"VAL","VALARIS LTD","Energy","Equity","135,092,817.60","0.17","135,092,817.60","1,471,920.00","91.78","United States","NYSE","USD","1.00","USD","-"
"RIG","TRANSOCEAN LTD","Energy","Equity","135,010,928.12","0.17","135,010,928.12","21,881,836.00","6.17","United States","NYSE","USD","1.00","USD","-"
"ABCB","AMERIS BANCORP","Financials","Equity","133,280,743.16","0.17","133,280,743.16","1,543,852.00","86.33","United States","NYSE","USD","1.00","USD","-"
"PIPR","PIPER SANDLER COMPANIES","Financials","Equity","133,083,334.26","0.17","133,083,334.26","1,654,031.00","80.46","United States","NYSE","USD","1.00","USD","-"
"NJR","NEW JERSEY RESOURCES CORP","Utilities","Equity","132,669,610.56","0.17","132,669,610.56","2,389,152.00","55.53","United States","NYSE","USD","1.00","USD","-"
"COMP","COMPASS INC CLASS A","Real Estate","Equity","132,614,135.08","0.17","132,614,135.08","15,173,242.00","8.74","United States","NYSE","USD","1.00","USD","-"
"MATX","MATSON INC","Industrials","Equity","131,188,396.12","0.17","131,188,396.12","728,258.00","180.14","United States","NYSE","USD","1.00","USD","-"
"MAC","MACERICH REIT","Real Estate","Equity","130,367,727.74","0.17","130,367,727.74","6,100,502.00","21.37","United States","NYSE","USD","1.00","USD","-"
"POR","PORTLAND GENERAL ELECTRIC","Utilities","Equity","130,309,719.54","0.17","130,309,719.54","2,680,167.00","48.62","United States","NYSE","USD","1.00","USD","-"
"UUUU","ENERGY FUELS INC","Energy","Equity","129,483,759.05","0.16","129,483,759.05","5,545,343.00","23.35","Canada","Nyse Mkt Llc","USD","1.00","USD","-"
"SYRE","SPYRE THERAPEUTICS INC","Health Care","Equity","128,513,966.70","0.16","128,513,966.70","1,758,057.00","73.10","United States","NASDAQ","USD","1.00","USD","-"
"GLNG","GOLAR LNG LTD","Energy","Equity","126,455,197.96","0.16","126,455,197.96","2,297,932.00","55.03","Norway","NASDAQ","USD","1.00","USD","-"
"VSEC","VSE CORP","Industrials","Equity","126,414,202.30","0.16","126,414,202.30","633,814.00","199.45","United States","NASDAQ","USD","1.00","USD","-"
"CWST","CASELLA WASTE SYSTEMS INC CLASS A","Industrials","Equity","126,273,053.90","0.16","126,273,053.90","1,477,742.00","85.45","United States","NASDAQ","USD","1.00","USD","-"
"AUB","ATLANTIC UNION BANKSHARES CORP","Financials","Equity","126,026,829.60","0.16","126,026,829.60","3,332,280.00","37.82","United States","NYSE","USD","1.00","USD","-"
"HASI","HA SUSTAINABLE INFRASTRUCTURE CAPI","Financials","Equity","125,083,153.64","0.16","125,083,153.64","2,945,212.00","42.47","United States","NYSE","USD","1.00","USD","-"
"HIMS","HIMS HERS HEALTH INC CLASS A","Health Care","Equity","124,081,515.90","0.16","124,081,515.90","4,837,486.00","25.65","United States","NYSE","USD","1.00","USD","-"
"REZI","RESIDEO TECHNOLOGIES INC","Industrials","Equity","122,849,915.50","0.16","122,849,915.50","3,048,385.00","40.30","United States","NYSE","USD","1.00","USD","-"
"BCPC","BALCHEM CORP","Materials","Equity","122,674,959.00","0.16","122,674,959.00","769,122.00","159.50","United States","NASDAQ","USD","1.00","USD","-"
"MUR","MURPHY OIL CORP","Energy","Equity","122,283,480.41","0.16","122,283,480.41","3,195,283.00","38.27","United States","NYSE","USD","1.00","USD","-"
"DIOD","DIODES INC","Information Technology","Equity","122,102,503.92","0.16","122,102,503.92","1,084,488.00","112.59","United States","NASDAQ","USD","1.00","USD","-"
"SBRA","SABRA HEALTH CARE REIT INC","Real Estate","Equity","121,334,926.02","0.15","121,334,926.02","5,895,769.00","20.58","United States","NASDAQ","USD","1.00","USD","-"
"YOU","CLEAR SECURE INC CLASS A","Information Technology","Equity","121,121,399.49","0.15","121,121,399.49","2,082,197.00","58.17","United States","NYSE","USD","1.00","USD","-"
"OGS","ONE GAS INC","Utilities","Equity","121,105,567.30","0.15","121,105,567.30","1,419,095.00","85.34","United States","NYSE","USD","1.00","USD","-"
"SIGI","SELECTIVE INSURANCE GROUP INC","Financials","Equity","120,756,506.85","0.15","120,756,506.85","1,425,865.00","84.69","United States","NASDAQ","USD","1.00","USD","-"
"RDN","RADIAN GROUP INC","Financials","Equity","120,438,812.34","0.15","120,438,812.34","3,201,457.00","37.62","United States","NYSE","USD","1.00","USD","-"
